,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
100_g_at,10.5493797965014,10.7519282360856,10.6338995350761,10.6436905617383,10.5620030837766,10.5291755980305,10.7119495352589,10.6481109200436,10.6614715938971
1000_at,10.7585332375944,10.6895142559709,10.5784746874185,10.3284752346502,10.2666096069964,10.7164038041893,10.4808008496021,10.5835092334265,10.3945172434116
1001_at,8.74062159880343,8.85814534220007,8.78081811986596,8.87345966321414,8.9489835337326,8.8584283427071,8.84862444136373,8.85129797143244,8.94005808123108
1002_f_at,8.48538467104103,8.79407861758674,8.70749503093645,8.79406525351137,8.84626320202603,8.79082177869104,8.79038406799747,8.75001560217378,8.82213382863473
1003_s_at,9.25018702404769,9.36147639727897,9.4823531616786,9.34449827382298,9.34457436702617,9.42731172570115,9.38170597820918,9.41736935563987,9.2477105696084
1004_at,9.17030754213055,9.2234177142722,9.22869413664212,9.2734014074301,9.27554755898645,9.17841793147026,9.22635107252832,9.15051466572461,9.32315802849312
1005_at,10.3553615090631,10.6893867091246,10.4002083336597,10.7494690634726,10.4731642645357,10.3238603242434,10.3478561131092,10.3180703988675,10.9584373665886
1006_at,8.6104742216771,8.82106584625696,8.7765566031914,8.71161909977308,8.75372228948046,8.81110700421241,8.80647963535823,8.71776632525988,8.67000188341832
1007_s_at,9.91289675905093,10.0017746790061,10.0254834949624,10.2380462164401,9.90041219423805,10.0924657350219,10.5255776233875,10.0862373149393,10.3568775558252
1008_f_at,11.6486421860060,12.0248670324329,11.7282815742879,11.7959910791256,11.7461191816399,11.5748548916250,11.5067279400975,11.7538300831044,11.6266058590463
1009_at,12.3248270461019,12.1845249013942,12.0609896998957,12.0171927351364,12.3028505049688,11.8673476419889,12.4520558033547,12.6928032983915,11.9782851696802
101_at,9.24699026515393,9.48057566580308,9.40606092606409,8.93615922996571,9.31630772047843,9.26810019446997,9.02287088283498,9.47178471031106,8.9557328338615
1010_at,9.39055309576563,9.46582104398895,9.47184355569591,9.3871951397997,9.47247184060735,9.45642735818824,9.4266811168197,9.454414486505,9.58366945045024
1011_s_at,10.4157714660257,10.5501300016888,10.1392788941332,10.4043353027970,10.3492433359800,10.1485790400145,10.4946929715933,10.2141444210726,10.3907402516934
1012_at,8.30928016894958,8.5272316678664,8.46403705885743,8.53073626368643,8.42846543957377,8.3461834454167,8.50648322917906,8.38374058221403,8.43109406813952
1013_at,8.40082936758323,8.67929180613394,8.63224629535667,8.46286256143406,8.71304217781654,8.68883052492302,8.57228820243472,8.61457458493733,8.60459365926867
1014_at,10.4176712819165,10.2822213939255,10.4606994443877,10.3139740642069,10.3842987947478,10.4519105378706,10.4141845224326,10.6621635596457,10.4203730884964
1015_s_at,9.51505893134523,9.7445887979443,9.71592577560164,9.19990966483076,9.31648190657542,9.42464918247245,9.23219142254661,9.43064972434326,9.24306755150807
1016_s_at,9.52494573150442,10.5868809955280,9.95653186492992,9.92908988012389,9.44293537080528,9.47859290415038,10.15595971574,8.83914602421392,8.59085457808582
1017_at,8.8389470951658,8.517125706577,8.60393161962374,8.69726936952598,8.67795858191247,8.69624471908838,8.686116042874,8.5018845612385,8.72936612042562
1018_at,9.34796252136184,9.3802065135321,9.26787825523409,9.4945210401582,9.43967251119483,9.35821158919374,9.37069745828731,9.25896309016919,9.37674502934703
1019_g_at,9.99897085658522,9.89545886638198,9.84053809583225,10.0276965369430,10.0037944297970,9.95081965447775,9.8520740307528,9.78465910582868,9.97323049907026
102_at,8.5037833479382,8.56173383748885,8.46436639595035,8.50204649583233,8.64047039664268,8.50450757700527,8.43249138755911,8.34324116056153,8.50744219439513
1020_s_at,10.3906860832485,10.3826812640402,10.3166546914573,10.1506032259665,10.2774693641853,10.1215372936124,10.3277671548158,10.5152311499371,10.1307713854452
1021_at,8.56665279169407,8.6812782976058,8.62655316517621,8.78491340331992,8.74627786387248,8.6948065281932,8.60342381585124,8.39737123289962,8.63318381831056
1022_f_at,8.6985146892401,8.53982022365627,8.62422731312848,8.64713619525144,8.66337609712652,8.60902951563344,8.63232411481394,8.63913543453767,8.51232407428046
1023_at,9.6296645561148,9.48252740619355,9.48252740619355,9.44559750266598,9.31996777502017,9.5275294289479,9.495939960889,9.51035976147763,9.44745877327107
1024_at,9.53519198742066,9.458004999594,9.53606807192143,9.64243622757117,9.54141396390489,9.64006606850659,9.52880161122316,9.4265705067203,9.54141396390489
1025_g_at,8.8115380203673,9.12730357309954,8.95351957697914,9.13550875305438,9.10589188881084,9.09784023962044,9.11890206223813,9.12127560310805,9.1045351735004
1026_s_at,10.0495617739059,10.0253337088183,10.0617822855608,10.0458561435065,10.1301833682646,9.9876847918631,10.1082463277295,10.0028728825157,10.2571001426336
1027_at,9.15121830945115,9.14814400623989,9.0805945071221,9.12844241992233,9.12844241992233,9.14293367374968,9.12071837518517,9.06519991238611,9.23360439328993
